epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
166.0,0.04,0.0,99.1,0.0,0.0,0.0,99.1,99.1,3.3,46.15,44.28,58.41,49.08,0.0,47.9,49.08,ERM,resnet32
63.0,0.42,0.0,85.4,0.0,0.0,0.0,85.45,85.13,2.48,51.04,38.92,59.93,48.86,0.0,46.82,48.86,ERM-RS,resnet32
108.0,0.12,0.0,96.0,0.0,0.0,0.0,96.0,95.97,3.22,48.81,43.14,54.63,48.29,0.0,43.41,48.29,ERM-RW,resnet32
183.0,0.01,0.0,99.8,0.0,0.0,0.0,99.8,99.8,3.3,51.07,41.78,61.26,50.41,0.0,49.09,50.41,ERM-CBLoss,resnet32
139.0,0.06,0.0,98.1,0.0,0.0,0.0,98.1,98.09,3.37,51.81,40.61,57.19,48.94,0.0,47.14,48.94,ERM-DRS,resnet32
197.0,0.0,1.86,0.0,45.5,0.43,0.43,1.0,1.0,3.01,49.37,42.61,53.52,47.91,0.0,46.19,47.91,ERM-M2m,resnet32
