epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
182.0,0.09,0.0,98.26,0.0,0.0,0.0,98.26,98.25,2.85,48.72,49.05,49.43,49.07,0.0,45.99,49.07,ERM,resnet32
176.0,0.14,0.0,96.89,0.0,0.0,0.0,96.9,96.87,2.91,46.7,46.93,50.2,47.93,0.0,45.16,47.93,ERM-RS,resnet32
179.0,0.09,0.0,98.46,0.0,0.0,0.0,98.46,98.45,2.83,47.47,49.15,51.04,49.22,0.0,46.14,49.22,ERM-RW,resnet32
178.0,0.1,0.0,98.25,0.0,0.0,0.0,98.25,98.24,2.9,46.63,48.43,48.82,47.97,0.0,44.96,47.97,ERM-CBLoss,resnet32
191.0,0.11,0.0,97.83,0.0,0.0,0.0,97.86,97.84,2.84,48.15,49.08,50.07,49.1,0.0,46.09,49.1,ERM-DRS,resnet32
158.0,0.45,0.0,86.53,0.0,0.0,0.0,86.53,86.37,3.5,43.13,43.1,44.38,43.53,0.0,38.9,43.53,ERM-M2m,resnet32
