epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
96.0,0.12,0.0,96.4,0.0,0.0,0.0,96.4,96.36,4.84,32.07,30.67,40.22,33.96,0.0,31.52,33.96,ERM,resnet32
183.0,0.05,0.0,100.0,0.0,0.0,0.0,100.0,100.0,4.49,29.44,27.28,37.78,31.08,0.0,30.16,31.08,ERM-RS,resnet32
152.0,0.03,0.0,99.2,0.0,0.0,0.0,99.2,99.17,5.18,34.44,27.69,33.22,31.38,0.0,28.58,31.38,ERM-RW,resnet32
80.0,0.32,0.0,89.6,0.0,0.0,0.0,89.6,89.27,4.5,29.96,26.42,42.89,32.42,0.0,29.2,32.42,ERM-CBLoss,resnet32
65.0,0.25,0.0,90.0,0.0,0.0,0.0,90.0,89.8,3.95,40.07,19.5,40.48,31.97,0.0,28.65,31.97,ERM-DRS,resnet32
138.0,0.09,0.0,96.8,0.0,0.0,0.0,96.8,96.6,5.48,29.52,27.69,40.15,31.98,0.0,29.91,31.98,ERM-M2m,resnet32
