epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
135.0,0.04,0.0,100.0,0.0,0.0,0.0,100.0,100.0,10.6,8.63,15.83,35.56,19.59,0.0,15.74,19.59,ERM,resnet32
135.0,0.45,0.0,90.0,0.0,0.0,0.0,81.17,9.03,6.25,23.3,15.25,25.81,20.83,0.0,17.07,20.83,ERM-RS,resnet32
59.0,0.43,0.0,82.0,0.0,0.0,0.0,82.0,80.24,12.95,15.33,10.03,35.89,19.38,0.0,9.98,19.38,ERM-RW,resnet32
149.0,0.06,0.0,98.0,0.0,0.0,0.0,98.0,97.79,11.39,13.89,19.22,28.78,20.49,0.0,17.86,20.49,ERM-CBLoss,resnet32
78.0,1.6,0.0,40.0,0.0,0.0,0.0,40.0,0.48,34.99,6.04,2.14,40.7,14.88,0.0,6.8,14.88,ERM-DRS,resnet32
195.0,0.88,12.6,77.27,14.29,0.13,0.13,1.0,1.0,8.72,10.7,19.17,38.11,22.31,0.0,17.87,22.31,ERM-M2m,resnet32
