epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
185.0,0.51,0.0,84.77,0.0,0.0,0.0,84.77,84.31,1.07,70.3,69.93,71.82,70.68,0.0,69.41,70.68,ERM,resnet32
176.0,0.55,0.0,83.58,0.0,0.0,0.0,83.56,83.07,1.08,71.14,70.2,70.77,70.7,0.0,69.58,70.7,ERM-RS,resnet32
187.0,0.51,0.0,84.74,0.0,0.0,0.0,84.74,84.3,1.05,70.81,69.35,71.65,70.59,0.0,69.37,70.59,ERM-RW,resnet32
192.0,0.51,0.0,84.74,0.0,0.0,0.0,84.74,84.3,1.05,69.6,71.11,71.89,70.87,0.0,69.63,70.87,ERM-CBLoss,resnet32
179.0,0.0,1.73,0.0,51.6,0.39,0.39,1.0,1.0,1.25,66.26,65.23,65.49,65.66,0.0,63.51,65.66,ERM-M2m,resnet32
175.0,0.54,0.0,83.98,0.0,0.0,0.0,83.96,83.5,1.05,70.2,69.38,72.19,70.58,0.0,69.38,70.58,ERM-DRS,resnet32
