epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
173.0,0.04,0.0,99.02,0.0,0.0,0.0,99.02,99.02,0.96,81.26,71.64,84.41,78.36,0.0,77.74,78.36,ERM,resnet32
179.0,0.05,0.0,98.46,0.0,0.0,0.0,98.47,98.47,0.95,78.63,70.94,86.19,77.82,0.0,77.1,77.82,ERM-RS,resnet32
199.0,0.06,0.0,98.48,0.0,0.0,0.0,98.48,98.48,0.88,81.44,72.72,84.96,79.01,0.0,78.47,79.01,ERM-RW,resnet32
178.0,0.04,0.0,98.78,0.0,0.0,0.0,98.78,98.78,0.96,78.74,71.92,86.26,78.27,0.0,77.59,78.27,ERM-CBLoss,resnet32
173.0,0.04,0.0,98.92,0.0,0.0,0.0,98.93,98.93,1.01,80.67,71.47,84.85,78.24,0.0,77.67,78.24,ERM-DRS,resnet32
153.0,0.19,0.0,93.38,0.0,0.0,0.0,93.38,93.32,0.96,77.07,73.28,82.78,77.27,0.0,76.69,77.27,ERM-M2m,resnet32
