epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
189.0,0.01,0.0,99.84,0.0,0.0,0.0,99.84,99.84,1.66,70.78,62.67,78.78,69.93,0.0,68.97,69.93,ERM,resnet32
180.0,0.02,0.0,99.48,0.0,0.0,0.0,99.48,99.48,1.79,69.59,58.06,76.04,66.91,0.0,65.82,66.91,ERM-RS,resnet32
194.0,0.03,0.0,99.28,0.0,0.0,0.0,99.28,99.28,1.86,69.15,59.22,75.22,67.0,0.0,65.96,67.0,ERM-RW,resnet32
181.0,0.02,0.0,99.4,0.0,0.0,0.0,99.4,99.4,1.66,70.15,61.67,76.3,68.6,0.0,67.65,68.6,ERM-CBLoss,resnet32
175.0,0.02,0.0,99.6,0.0,0.0,0.0,99.6,99.6,1.76,71.19,60.72,72.78,67.48,0.0,66.67,67.48,ERM-DRS,resnet32
120.0,0.06,0.0,97.88,0.0,0.0,0.0,97.88,97.87,1.91,67.74,59.69,75.48,66.84,0.0,64.92,66.84,ERM-M2m,resnet32
