epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
104.0,0.3,0.0,92.8,0.0,0.0,0.0,92.8,91.82,9.46,6.67,6.14,7.95,6.91,0.0,5.38,6.91,ERM,resnet32
128.0,0.16,0.0,96.4,0.0,0.0,0.0,96.08,95.41,10.62,6.84,8.79,5.29,6.99,0.0,4.97,6.99,ERM-RS,resnet32
124.0,0.04,0.0,99.8,0.0,0.0,0.0,99.8,99.78,10.37,7.51,7.61,5.45,6.87,0.0,5.26,6.87,ERM-RW,resnet32
60.0,0.79,0.0,78.8,0.0,0.0,0.0,78.8,74.34,8.24,6.63,5.82,7.21,6.54,0.0,5.47,6.54,ERM-CBLoss,resnet32
122.0,0.09,0.0,97.8,0.0,0.0,0.0,97.8,97.58,9.94,7.07,5.23,6.7,6.32,0.0,5.27,6.32,ERM-DRS,resnet32
160.0,0.01,0.0,99.8,0.0,0.0,0.0,99.8,99.78,11.03,7.51,7.16,6.23,6.97,0.0,5.36,6.97,ERM-M2m,resnet32
