epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
182.0,0.01,0.0,99.92,0.0,0.0,0.0,99.92,99.92,6.94,21.55,22.32,21.95,21.94,0.0,17.28,21.94,ERM,resnet32
150.0,0.03,0.0,99.68,0.0,0.0,0.0,99.68,99.67,7.36,18.01,19.48,22.73,20.07,0.0,15.51,20.07,ERM-RS,resnet32
156.0,0.06,0.0,98.4,0.0,0.0,0.0,98.4,98.36,7.37,18.55,19.58,19.06,19.07,0.0,14.75,19.07,ERM-RW,resnet32
117.0,0.07,0.0,98.24,0.0,0.0,0.0,98.24,98.21,7.32,20.1,21.9,22.53,21.51,0.0,16.94,21.51,ERM-CBLoss,resnet32
145.0,0.01,0.0,99.88,0.0,0.0,0.0,99.88,99.88,6.52,22.76,22.78,25.29,23.6,0.0,18.61,23.6,ERM-DRS,resnet32
123.0,0.08,0.0,98.28,0.0,0.0,0.0,98.28,98.24,7.55,18.18,18.43,19.6,18.73,0.0,13.6,18.73,ERM-M2m,resnet32
