epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
191.0,0.12,0.0,98.1,0.0,0.0,0.0,98.1,98.08,4.46,29.33,31.41,33.57,31.43,0.0,27.46,31.43,ERM,resnet32
177.0,0.15,0.0,97.04,0.0,0.0,0.0,97.09,97.06,4.33,32.46,33.79,35.08,33.78,0.0,29.96,33.78,ERM-RS,resnet32
169.0,0.17,0.0,96.14,0.0,0.0,0.0,96.14,96.09,4.31,31.28,33.99,35.25,33.51,0.0,28.91,33.51,ERM-RW,resnet32
176.0,0.11,0.0,97.94,0.0,0.0,0.0,97.94,97.92,4.54,32.19,32.42,34.95,33.18,0.0,28.78,33.18,ERM-CBLoss,resnet32
180.0,0.15,0.0,97.38,0.0,0.0,0.0,97.37,97.34,4.17,31.65,32.81,35.19,33.21,0.0,29.47,33.21,ERM-DRS,resnet32
154.0,0.34,0.0,89.86,0.0,0.0,0.0,89.86,89.67,4.95,28.32,29.93,33.1,30.44,0.0,25.31,30.44,ERM-M2m,resnet32
