epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
193.0,0.08,0.0,98.52,0.0,0.0,0.0,96.56,96.4,3.95,65.52,38.04,10.61,38.06,0.0,26.62,38.06,ERM,resnet32
164.0,0.22,0.0,93.99,0.0,0.0,0.0,94.02,93.49,5.07,53.97,30.49,9.12,31.19,0.0,20.91,31.19,ERM-RS,resnet32
167.0,0.22,0.0,94.13,0.0,0.0,0.0,94.09,93.72,4.67,56.13,33.07,10.57,33.26,0.0,20.98,33.26,ERM-SMOTE,resnet32
180.0,0.1,0.0,70.38,0.0,0.0,0.0,87.65,85.54,4.09,49.93,33.92,11.68,31.87,0.0,22.21,31.87,ERM-RW,resnet32
176.0,0.09,0.0,74.51,0.0,0.0,0.0,89.36,87.84,4.03,53.77,35.33,12.36,33.83,0.0,22.67,33.83,ERM-CBLoss,resnet32
179.0,0.09,0.0,98.52,0.0,0.0,0.0,98.54,98.53,3.47,64.04,40.07,16.73,40.28,0.0,29.25,40.28,ERM-DRS,resnet32
179.0,0.08,7.58,99.08,7.89,0.0,0.06,1.0,1.0,3.22,65.02,44.05,19.02,42.71,0.0,31.61,42.71,ERM-M2m,resnet32
194.0,0.05,0.0,98.3,0.0,0.0,0.0,97.36,97.29,3.62,64.18,36.21,10.47,36.94,0.0,24.17,36.94,Focal,resnet32
174.0,0.81,0.0,96.8,0.0,0.0,0.0,88.21,85.98,4.24,69.36,39.8,11.62,40.26,0.0,26.27,40.26,LDAM,resnet32_norm
184.0,0.7,0.0,95.28,0.0,0.0,0.0,91.65,90.78,4.24,65.72,42.16,18.38,42.09,0.0,28.45,42.09,LDAM-DRW,resnet32_norm
162.0,5.87,0.0,87.68,0.0,0.0,0.0,1.0,1.0,4.25,62.12,36.47,25.42,41.29,0.0,32.55,41.29,LDAM-M2m,resnet32_norm
