epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
169.0,0.11,0.0,96.56,0.0,0.0,0.0,96.56,96.54,0.22,93.59,90.39,94.63,92.62,0.0,92.54,92.62,ERM,resnet32
184.0,0.09,0.0,96.82,0.0,0.0,0.0,96.82,96.81,0.23,94.22,90.47,94.41,92.78,0.0,92.69,92.78,ERM-RS,resnet32
188.0,0.09,0.0,97.2,0.0,0.0,0.0,97.2,97.19,0.23,93.44,90.67,95.04,92.81,0.0,92.72,92.81,ERM-RW,resnet32
133.0,0.25,0.0,91.51,0.0,0.0,0.0,91.51,91.42,0.36,89.74,84.92,92.11,88.52,0.0,88.16,88.52,ERM-M2m,resnet32
185.0,0.09,0.0,97.06,0.0,0.0,0.0,97.06,97.05,0.23,93.67,90.53,94.85,92.77,0.0,92.68,92.77,ERM-CBLoss,resnet32
192.0,0.09,0.0,97.22,0.0,0.0,0.0,97.22,97.21,0.22,94.07,91.19,94.78,93.13,0.0,93.07,93.13,ERM-DRS,resnet32
