epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
180.0,0.04,0.0,99.05,0.0,0.0,0.0,99.05,99.05,0.64,84.85,78.75,89.37,83.77,0.0,83.34,83.77,ERM,resnet32
181.0,0.05,0.0,98.5,0.0,0.0,0.0,98.5,98.5,0.66,83.67,78.67,89.19,83.32,0.0,82.86,83.32,ERM-RS,resnet32
183.0,0.05,0.0,98.66,0.0,0.0,0.0,98.66,98.66,0.61,85.93,79.44,89.52,84.41,0.0,84.02,84.41,ERM-RW,resnet32
182.0,0.03,0.0,99.29,0.0,0.0,0.0,99.29,99.29,0.64,85.33,79.56,89.56,84.29,0.0,83.96,84.29,ERM-CBLoss,resnet32
180.0,0.03,0.0,99.18,0.0,0.0,0.0,99.18,99.18,0.64,84.93,79.78,90.3,84.48,0.0,84.02,84.48,ERM-DRS,resnet32
156.0,0.17,0.0,94.2,0.0,0.0,0.0,94.2,94.17,0.72,83.56,76.33,87.48,81.84,0.0,81.37,81.84,ERM-M2m,resnet32
