epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
183.0,0.06,0.0,98.26,0.0,0.0,0.0,98.26,98.26,0.36,90.52,87.22,92.96,89.93,0.0,89.81,89.93,ERM,resnet32
188.0,0.07,0.0,97.97,0.0,0.0,0.0,97.97,97.97,0.35,91.0,86.33,93.15,89.78,0.0,89.6,89.78,ERM-RS,resnet32
176.0,0.06,0.0,98.08,0.0,0.0,0.0,98.08,98.07,0.34,90.59,87.28,92.41,89.81,0.0,89.7,89.81,ERM-RW,resnet32
194.0,0.06,0.0,98.21,0.0,0.0,0.0,98.21,98.2,0.33,91.44,87.14,93.63,90.38,0.0,90.26,90.38,ERM-CBLoss,resnet32
179.0,0.06,0.0,98.3,0.0,0.0,0.0,98.3,98.29,0.34,91.33,85.94,92.7,89.59,0.0,89.46,89.59,ERM-DRS,resnet32
138.0,0.22,0.0,92.37,0.0,0.0,0.0,92.37,92.31,0.55,86.78,77.53,90.0,84.04,0.0,83.51,84.04,ERM-M2m,resnet32
