epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
185.0,0.3,0.0,92.06,0.0,0.0,0.0,92.06,91.93,1.49,63.47,63.59,64.65,63.9,0.0,62.28,63.9,ERM,resnet32
197.0,0.33,0.0,90.54,0.0,0.0,0.0,90.65,90.48,1.5,63.3,63.5,64.44,63.74,0.0,61.95,63.74,ERM-RS,resnet32
185.0,0.29,0.0,92.1,0.0,0.0,0.0,92.1,91.98,1.49,63.27,62.97,64.61,63.61,0.0,61.88,63.61,ERM-RW,resnet32
192.0,0.31,0.0,91.69,0.0,0.0,0.0,91.69,91.55,1.46,64.04,63.86,64.78,64.22,0.0,62.48,64.22,ERM-CBLoss,resnet32
190.0,0.31,0.0,91.75,0.0,0.0,0.0,91.71,91.58,1.45,64.11,63.01,65.99,64.36,0.0,62.78,64.36,ERM-DRS,resnet32
151.0,0.82,0.0,74.46,0.0,0.0,0.0,74.46,73.81,2.07,53.77,54.44,54.48,54.23,0.0,49.0,54.23,ERM-M2m,resnet32
