epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
103.0,0.14,0.0,94.98,0.0,0.0,0.0,87.44,87.13,1.14,81.67,71.97,68.7,73.9,0.0,72.79,73.9,ERM,resnet32
159.0,0.1,0.0,96.76,0.0,0.0,0.0,96.78,96.75,1.38,85.22,64.86,64.0,70.71,0.0,69.7,70.71,ERM-RS,resnet32
101.0,0.13,0.0,95.42,0.0,0.0,0.0,95.44,95.39,1.2,72.56,74.89,70.67,72.92,0.0,71.5,72.92,ERM-SMOTE,resnet32
181.0,0.03,0.0,89.07,0.0,0.0,0.0,93.5,93.32,0.92,84.93,70.17,65.81,73.29,0.0,72.72,73.29,ERM-RW,resnet32
130.0,0.08,0.0,90.41,0.0,0.0,0.0,89.16,89.01,0.97,79.78,68.31,72.19,72.91,0.0,72.01,72.91,ERM-CBLoss,resnet32
173.0,0.03,0.0,99.35,0.0,0.0,0.0,99.35,99.35,1.08,91.63,73.06,59.63,74.6,0.0,73.36,74.6,ERM-DRS,resnet32
179.0,0.18,1.68,97.41,41.31,0.0,0.33,1.0,1.0,0.68,87.33,74.11,73.96,78.03,0.0,77.63,78.03,ERM-M2m,resnet32
168.0,0.02,0.0,98.92,0.0,0.0,0.0,97.67,97.67,1.15,92.93,69.22,46.74,69.59,0.0,66.88,69.59,Focal,resnet32
180.0,0.3,0.0,98.43,0.0,0.0,0.0,96.61,96.58,1.86,93.33,72.47,53.15,72.93,0.0,70.9,72.93,LDAM,resnet32_norm
177.0,0.14,0.0,97.59,0.0,0.0,0.0,96.95,96.94,1.84,91.85,74.03,63.85,76.32,0.0,75.35,76.32,LDAM-DRW,resnet32_norm
179.0,0.19,0.0,96.4,0.0,0.0,0.0,1.0,1.0,1.85,88.78,76.03,77.3,80.23,0.0,79.81,80.23,LDAM-M2m,resnet32_norm
