epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
181.0,0.02,0.0,99.8,0.0,0.0,0.0,99.8,99.8,4.08,36.67,35.61,47.48,39.49,0.0,38.56,39.49,ERM,resnet32
177.0,0.05,0.0,99.0,0.0,0.0,0.0,99.0,98.98,4.08,39.41,29.22,42.7,36.32,0.0,34.82,36.32,ERM-RS,resnet32
141.0,0.02,0.0,99.6,0.0,0.0,0.0,99.6,99.6,4.69,40.48,38.14,41.0,39.7,0.0,37.99,39.7,ERM-RW,resnet32
179.0,0.02,0.0,99.8,0.0,0.0,0.0,99.8,99.8,4.5,38.33,31.83,48.26,38.71,0.0,36.96,38.71,ERM-CBLoss,resnet32
133.0,0.04,0.0,98.6,0.0,0.0,0.0,98.6,98.59,4.83,35.7,31.17,48.93,37.86,0.0,35.75,37.86,ERM-DRS,resnet32
126.0,0.07,0.0,97.0,0.0,0.0,0.0,97.0,96.96,4.52,41.63,32.78,47.74,39.92,0.0,36.75,39.92,ERM-M2m,resnet32
