epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test bal acc,test gm
0,1.8884552139862711,0,32.13743820664676,0,0,0,24.519501105398074,30.47343259984047,1.980821845266554,42.407407407407405,28.5,38.96296296296296,35.81111111111111,0,29.301163472722923,28.679012345679016
1,1.5718242854870372,0,42.89070530076844,0,0,0,36.487108588393404,41.08172550661786,1.5393582608964709,55.18518518518518,38.44444444444444,44.96296296296296,45.422222222222224,0,41.77620940375703,39.358024691358025
2,1.3761091765710467,0,49.74303754099163,0,0,0,44.00829691663162,47.69539691172475,1.5393582608964709,55.18518518518518,38.44444444444444,44.96296296296296,45.422222222222224,0,41.77620940375703,39.358024691358025
3,1.1885922155298096,0,57.40296608095541,0,0,0,52.621532776825966,55.69185942831404,1.5393582608964709,55.18518518518518,38.44444444444444,44.96296296296296,45.422222222222224,0,41.77620940375703,39.358024691358025
4,1.0388446669239906,0,63.247026577260044,0,0,0,59.068905844688345,61.41884322399361,1.422338158554501,67.81481481481481,31.36111111111111,78.44444444444444,56.422222222222224,0,49.754394539027906,51.58024691358024
5,0.8974776332712484,0,68.42053741862856,0,0,0,64.80218942362566,66.86564145475965,1.2604817185137007,71.44444444444444,50.44444444444444,61.51851851851852,60.06666666666667,0,54.815344520700826,55.629629629629626
6,0.8200397161793052,0,70.94611130145367,0,0,0,67.75469812039914,69.9325453909222,0.954742642905977,72.14814814814815,56.97222222222222,78.29629629629629,67.92222222222222,0,66.42741177182539,64.35802469135801
7,0.734685983375903,0,74.27928148401938,0,0,0,71.39595853977944,73.22735358918297,1.034506803088718,68.70370370370371,69.30555555555556,63.888888888888886,67.5,0,64.82867826882006,63.88888888888889
8,0.660115522885193,0,77.31388576183251,0,0,0,74.85761012143158,76.55480501413683,0.9776570624775357,81.85185185185185,55.0,71.29629629629629,67.94444444444444,0,63.01891967962875,64.38271604938272
9,0.6130595135476398,0,78.2487396603201,0,0,0,75.69732808772825,77.33348471947453,0.9776570624775357,81.85185185185185,55.0,71.29629629629629,67.94444444444444,0,63.01891967962875,64.38271604938272
10,0.5776041162433524,0,80.22612696392737,0,0,0,78.17980665601205,79.68584471678508,0.9776570624775357,81.85185185185185,55.0,71.29629629629629,67.94444444444444,0,63.01891967962875,64.38271604938272
11,0.5402952165752073,0,81.09245754001273,0,0,0,78.91810081084665,80.42891714767912,0.7779457158512539,72.77777777777777,69.97222222222223,83.88888888888889,74.9888888888889,0,73.83922065137115,72.20987654320987
12,0.5233817410159232,0,81.69937839557535,0,0,0,79.68785879523811,81.14647626182943,0.7779457158512539,72.77777777777777,69.97222222222223,83.88888888888889,74.9888888888889,0,73.83922065137115,72.20987654320987
13,0.4860763275601733,0,82.90832558367187,0,0,0,81.04520255030491,82.49561807508614,0.8346306032604641,76.33333333333333,71.63888888888889,77.4074074074074,74.77777777777777,0,73.35531728528873,71.9753086419753
14,0.4650598081027258,0,83.98022612696393,0,0,0,82.22321357827728,83.55473474899023,0.8346306032604641,76.33333333333333,71.63888888888889,77.4074074074074,74.77777777777777,0,73.35531728528873,71.9753086419753
15,0.45632767857891904,0,84.19069061719935,0,0,0,82.45529182708594,83.76737546750009,0.7775765217012829,77.48148148148148,71.02777777777777,81.37037037037037,76.06666666666666,0,74.51978349220906,73.4074074074074
16,0.4217239116296142,0,85.29685282169253,0,0,0,83.6828189469269,84.89342393431853,0.7775765217012829,77.48148148148148,71.02777777777777,81.37037037037037,76.06666666666666,0,74.51978349220906,73.4074074074074
17,0.4109378688489222,0,85.8646174930253,0,0,0,84.26870852620223,85.42077645019039,0.7775765217012829,77.48148148148148,71.02777777777777,81.37037037037037,76.06666666666666,0,74.51978349220906,73.4074074074074
18,0.4109090654418586,0,85.83035583182419,0,0,0,84.34703364273747,85.56487078367685,0.7775765217012829,77.48148148148148,71.02777777777777,81.37037037037037,76.06666666666666,0,74.51978349220906,73.4074074074074
19,0.37599251019955265,0,86.85331114482894,0,0,0,85.323378708875,86.47935720986854,0.7775765217012829,77.48148148148148,71.02777777777777,81.37037037037037,76.06666666666666,0,74.51978349220906,73.4074074074074
20,0.3652785624706134,0,87.22040037198376,0,0,0,85.80318984833046,86.92526780122179,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
21,0.35413032376458714,0,87.5777005530811,0,0,0,86.1683217159204,87.24370874487332,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
22,0.3640017486384107,0,87.44065390827664,0,0,0,85.98993208408461,87.08331156170593,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
23,0.3579168224771154,0,87.62664578336842,0,0,0,86.17815579998876,87.26727098090385,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
24,0.3379725023077936,0,88.20909402378739,0,0,0,86.92469791875327,88.00620318382859,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
25,0.32870935052625994,0,88.561499681856,0,0,0,87.30594384425848,88.29342959827783,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
26,0.31089429166615606,0,89.26141647496452,0,0,0,88.04067640901685,89.02924918305388,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
27,0.3237696753132974,0,88.51744897459743,0,0,0,87.2506983476957,88.2619531210966,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
28,0.30453781281429665,0,89.2124712446772,0,0,0,87.9786651505986,88.95078891705602,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
29,0.3191903579921241,0,88.85027654055112,0,0,0,87.65617214085704,88.67095782271254,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
30,0.29235134040123156,0,89.907493514757,0,0,0,88.69555126550219,89.60747296973351,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
31,0.2934773015378476,0,90.10327443590621,0,0,0,89.03394436361324,89.94719149791818,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
32,0.28888313713026353,0,90.07880182076256,0,0,0,88.96931135786639,89.86805940701333,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
33,0.2861722998098972,0,90.18158680436592,0,0,0,89.11691334178123,90.03521714924318,0.7375837143924501,84.07407407407408,74.80555555555556,73.22222222222223,77.11111111111111,0,76.36725403778249,74.5679012345679
