epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test bal acc,test gm
0,1.7867256851076327,0,40.3455533258284,0,0,0,14.468746948746567,0.0,2.1390311453077526,64.74074074074075,10.0,0.4074074074074074,23.544444444444444,0,0.0,15.049382716049381
1,1.4713675877251036,0,47.82927903675787,0,0,0,21.422950323643924,14.301723233126594,1.9787947469287448,75.5925925925926,14.86111111111111,9.666666666666666,31.522222222222222,0,11.207280598326463,23.913580246913575
2,1.3439509281181599,0,52.2930840389604,0,0,0,27.46822172230819,22.30569838610075,1.7281853914260865,68.18518518518519,28.583333333333332,22.77777777777778,38.72222222222222,0,24.29328876980999,31.913580246913586
3,1.2290426965537247,0,56.59047525818609,0,0,0,33.710982304000645,30.238385457515477,1.6699944522645738,71.81481481481481,40.5,17.14814814814815,42.888888888888886,0,23.490609768881676,36.54320987654321
4,1.0913839841004505,0,61.11790905976213,0,0,0,41.330146609355474,41.41416527934928,1.6389028562439814,80.77777777777777,41.05555555555556,14.851851851851851,45.111111111111114,0,32.76180781528392,39.01234567901235
5,0.971424143818832,0,65.62576476922324,0,0,0,49.191552482774156,51.52467640073779,1.4500922640164693,70.92592592592592,43.97222222222222,43.25925925925926,51.84444444444444,0,47.64963652533742,46.49382716049382
6,0.8481509687004213,0,70.57412755127012,0,0,0,56.14740997195696,58.670501597155976,1.3113139404190912,82.77777777777777,46.638888888888886,43.22222222222222,56.455555555555556,0,50.71036880095582,51.617283950617285
7,0.7670256133314318,0,72.66898340756693,0,0,0,60.111043523204266,62.69067099600763,1.3113139404190912,82.77777777777777,46.638888888888886,43.22222222222222,56.455555555555556,0,50.71036880095582,51.617283950617285
8,0.7034048748246245,0,75.31692036611032,0,0,0,63.955001463133286,66.50363355200905,1.068004267745548,78.62962962962963,56.611111111111114,58.592592592592595,63.81111111111111,0,61.36816970627436,59.79012345679012
9,0.6585689813903668,0,76.96637462679261,0,0,0,66.70777689138964,69.1099138109845,1.068004267745548,78.62962962962963,56.611111111111114,58.592592592592595,63.81111111111111,0,61.36816970627436,59.79012345679012
10,0.6097050838186658,0,78.53751651901523,0,0,0,69.05990055401332,71.30996879025204,1.068004267745548,78.62962962962963,56.611111111111114,58.592592592592595,63.81111111111111,0,61.36816970627436,59.79012345679012
11,0.5749387014257034,0,79.78072536831286,0,0,0,70.58041528320904,72.77365761381067,0.868087097009023,83.07407407407408,67.38888888888889,64.4074074074074,71.2,0,69.30621494505897,68.0
12,0.5569970981675992,0,80.31422837844453,0,0,0,71.63882920505776,73.83901073472508,0.838275495171547,83.77777777777777,69.16666666666667,66.25925925925925,72.67777777777778,0,72.0566158275618,69.64197530864197
13,0.5258793212944911,0,81.60638245802947,0,0,0,73.57293097948076,75.63157530538453,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
14,0.5130177756266285,0,82.16435808330478,0,0,0,74.3630347480858,76.37114427169097,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
15,0.49071772580139555,0,82.59997063286183,0,0,0,75.00676226827039,77.00607222009238,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
16,0.4789053462896104,0,83.44672311683226,0,0,0,76.62299605268423,78.4976604087884,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
17,0.46463899291283434,0,83.83828495913073,0,0,0,76.75969767913078,78.62850746255832,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
18,0.4415443990527081,0,84.56756889041164,0,0,0,77.96694570238299,79.74897718209768,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
19,0.42668103230611604,0,85.35558709803729,0,0,0,78.95165514998482,80.69049208796089,0.7019628882408142,77.14814814814815,71.75,80.25925925925925,75.92222222222222,0,74.88109893070096,73.24691358024691
